"","X","user","time","error","qType","interfaceType","ans","correct","age","sex","degree","monitor","computer","expert","expertProgressive","presentationOrder","corr1","corr5","corr10","corr20"
"89",88,"jt4sgoco",38528,0.01,1,"B","140000","140859","25-39","Other","Other","15","41-50","low-intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"90",89,"jt4sgoco",61203,0,2,"B","B","B","25-39","Other","Other","15","41-50","low-intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"91",90,"jt4sydej",16885,0.02,0,"A","60000","58878","25-39","Male","High School","13","51-60","intermediate","intermediate","[u'A', u'B']",0,1,1,1
"92",91,"jt4sydej",17823,0.12,1,"A","145000","164565","25-39","Male","High School","13","51-60","intermediate","intermediate","[u'A', u'B']",0,0,0,1
"93",92,"jt4sydej",13621,1,2,"A","D","C","25-39","Male","High School","13","51-60","intermediate","intermediate","[u'A', u'B']",0,0,0,0
"94",93,"jt4sydej",23079,0.14,0,"B","68000","78615","25-39","Male","High School","13","51-60","intermediate","intermediate","[u'A', u'B']",0,0,0,1
"95",94,"jt4sydej",16668,0.01,1,"B","140000","140859","25-39","Male","High School","13","51-60","intermediate","intermediate","[u'A', u'B']",1,1,1,1
"96",95,"jt4sydej",14664,0,2,"B","B","B","25-39","Male","High School","13","51-60","intermediate","intermediate","[u'A', u'B']",1,1,1,1
"97",96,"jt4t4xor",26479,0.02,0,"A","60000","58878","40-49","Female","High School","23 or larger","51-60","intermediate","novice","[u'A', u'B']",0,1,1,1
"98",97,"jt4t4xor",29612,0.09,1,"A","150000","164565","40-49","Female","High School","23 or larger","51-60","intermediate","novice","[u'A', u'B']",0,0,1,1
"99",98,"jt4t4xor",11071,1,2,"A","B","C","40-49","Female","High School","23 or larger","51-60","intermediate","novice","[u'A', u'B']",0,0,0,0
"100",99,"jt4t4xor",17214,0.11,0,"B","70000","78615","40-49","Female","High School","23 or larger","51-60","intermediate","novice","[u'A', u'B']",0,0,0,1
"101",100,"jt4t4xor",18093,0.06,1,"B","150000","140859","40-49","Female","High School","23 or larger","51-60","intermediate","novice","[u'A', u'B']",0,0,1,1
"102",101,"jt4t4xor",19601,0,2,"B","B","B","40-49","Female","High School","23 or larger","51-60","intermediate","novice","[u'A', u'B']",1,1,1,1
"103",102,"jt4t8832",32065,0.06,0,"A","62345","58878","25-39","Female","Bachelors","17","51-60","intermediate","novice","[u'A', u'B']",0,0,1,1
"104",103,"jt4t8832",54615,0.03,1,"A","160000","164565","25-39","Female","Bachelors","17","51-60","intermediate","novice","[u'A', u'B']",0,1,1,1
"105",104,"jt4t8832",20239,1,2,"A","D","C","25-39","Female","Bachelors","17","51-60","intermediate","novice","[u'A', u'B']",0,0,0,0
"106",105,"jt4t8832",34747,0.07,0,"B","73000","78615","25-39","Female","Bachelors","17","51-60","intermediate","novice","[u'A', u'B']",0,0,1,1
"107",106,"jt4t8832",33025,0.02,1,"B","143000","140859","25-39","Female","Bachelors","17","51-60","intermediate","novice","[u'A', u'B']",0,1,1,1
"108",107,"jt4t8832",18872,1,2,"B","E","B","25-39","Female","Bachelors","17","51-60","intermediate","novice","[u'A', u'B']",0,0,0,0
"109",108,"jt4tjl9t",28809,0.01,0,"B","58000","58878","50-59","Female","Other","15","41-50","novice","novice","[u'B', u'A']",1,1,1,1
"110",109,"jt4tjl9t",81410,0.91,1,"B","15000","164565","50-59","Female","Other","15","41-50","novice","novice","[u'B', u'A']",0,0,0,0
"111",110,"jt4tjl9t",39243,1,2,"B","d","C","50-59","Female","Other","15","41-50","novice","novice","[u'B', u'A']",0,0,0,0
"112",111,"jt4tjl9t",26945,0.11,0,"A","70000","78615","50-59","Female","Other","15","41-50","novice","novice","[u'B', u'A']",0,0,0,1
"113",112,"jt4tjl9t",34731,0.9,1,"A","14000","140859","50-59","Female","Other","15","41-50","novice","novice","[u'B', u'A']",0,0,0,0
"114",113,"jt4tjl9t",16318,1,2,"A","e","B","50-59","Female","Other","15","41-50","novice","novice","[u'B', u'A']",0,0,0,0
"115",114,"jt4tphyg",24519,0.07,0,"A","62900","58878","18-24","Female","High School","15","51-60","intermediate","low-intermediate","[u'A', u'B']",0,0,1,1
"116",115,"jt4tphyg",76148,0.02,1,"A","160950","164565","18-24","Female","High School","15","51-60","intermediate","low-intermediate","[u'A', u'B']",0,1,1,1
"117",116,"jt4tphyg",22753,0,2,"A","C","C","18-24","Female","High School","15","51-60","intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"118",117,"jt4tphyg",44044,0.03,0,"B","76200","78615","18-24","Female","High School","15","51-60","intermediate","low-intermediate","[u'A', u'B']",0,1,1,1
"119",118,"jt4tphyg",37276,0.01,1,"B","142600","140859","18-24","Female","High School","15","51-60","intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"120",119,"jt4tphyg",47473,0,2,"B","B","B","18-24","Female","High School","15","51-60","intermediate","low-intermediate","[u'A', u'B']",1,1,1,1
"121",120,"jt4ul7bb",61167,0,0,"A","59000","58878","25-39","Male","High School","21","43626","low-intermediate","novice","[u'A', u'B']",1,1,1,1
"122",121,"jt4ul7bb",40623,0.09,1,"A","150000","164565","25-39","Male","High School","21","43626","low-intermediate","novice","[u'A', u'B']",0,0,1,1
"123",122,"jt4ul7bb",26312,1,2,"A","D","C","25-39","Male","High School","21","43626","low-intermediate","novice","[u'A', u'B']",0,0,0,0
"124",123,"jt4ul7bb",46788,0.07,0,"B","73000","78615","25-39","Male","High School","21","43626","low-intermediate","novice","[u'A', u'B']",0,0,1,1
"125",124,"jt4ul7bb",33263,0.02,1,"B","143000","140859","25-39","Male","High School","21","43626","low-intermediate","novice","[u'A', u'B']",0,1,1,1
"126",125,"jt4ul7bb",42535,0,2,"B","B","B","25-39","Male","High School","21","43626","low-intermediate","novice","[u'A', u'B']",1,1,1,1
"127",126,"jt4upspp",28958,0.07,0,"B","55000","58878","25-39","Male","Bachelors","15","41-50","intermediate","intermediate","[u'B', u'A']",0,0,1,1
"128",127,"jt4upspp",37926,0.09,1,"B","150000","164565","25-39","Male","Bachelors","15","41-50","intermediate","intermediate","[u'B', u'A']",0,0,1,1
"129",128,"jt4upspp",39571,0,2,"B","C","C","25-39","Male","Bachelors","15","41-50","intermediate","intermediate","[u'B', u'A']",1,1,1,1
"130",129,"jt4upspp",20840,0.11,0,"A","70000","78615","25-39","Male","Bachelors","15","41-50","intermediate","intermediate","[u'B', u'A']",0,0,0,1
"131",130,"jt4upspp",25874,0.9,1,"A","14000","140859","25-39","Male","Bachelors","15","41-50","intermediate","intermediate","[u'B', u'A']",0,0,0,0
"132",131,"jt4upspp",26719,0,2,"A","B","B","25-39","Male","Bachelors","15","41-50","intermediate","intermediate","[u'B', u'A']",1,1,1,1
"133",132,"jt4w282w",50943,0.04,0,"A","56738","58878","25-39","Male","High School","15","21-30","novice","novice","[u'A', u'B']",0,1,1,1
"134",133,"jt4w282w",24304,0.03,1,"A","158853","164565","25-39","Male","High School","15","21-30","novice","novice","[u'A', u'B']",0,1,1,1
"135",134,"jt4w282w",13930,0,2,"A","c","C","25-39","Male","High School","15","21-30","novice","novice","[u'A', u'B']",1,1,1,1
"136",135,"jt4w282w",19157,0.42,0,"B","45570","78615","25-39","Male","High School","15","21-30","novice","novice","[u'A', u'B']",0,0,0,0
"137",136,"jt4w282w",20841,0.32,1,"B","185862","140859","25-39","Male","High School","15","21-30","novice","novice","[u'A', u'B']",0,0,0,0
"138",137,"jt4w282w",19454,1,2,"B","e","B","25-39","Male","High School","15","21-30","novice","novice","[u'A', u'B']",0,0,0,0
"139",138,"jt4z84nc",57840,0.04,0,"A","61000","58878","25-39","Male","Bachelors","21","21-30","intermediate","novice","[u'A', u'B']",0,1,1,1
"140",139,"jt4z84nc",70055,0.03,1,"A","160000","164565","25-39","Male","Bachelors","21","21-30","intermediate","novice","[u'A', u'B']",0,1,1,1
"141",140,"jt4z84nc",53240,0,2,"A","C","C","25-39","Male","Bachelors","21","21-30","intermediate","novice","[u'A', u'B']",1,1,1,1
"142",141,"jt4z84nc",60201,0.01,0,"B","78000","78615","25-39","Male","Bachelors","21","21-30","intermediate","novice","[u'A', u'B']",1,1,1,1
"143",142,"jt4z84nc",46061,0.02,1,"B","143000","140859","25-39","Male","Bachelors","21","21-30","intermediate","novice","[u'A', u'B']",0,1,1,1
"144",143,"jt4z84nc",67353,0,2,"B","B","B","25-39","Male","Bachelors","21","21-30","intermediate","novice","[u'A', u'B']",1,1,1,1
"145",144,"jt541sk9",77933,0.02,0,"B","60000","58878","25-39","Male","High School","23 or larger","41-50","novice","novice","[u'B', u'A']",0,1,1,1
"146",145,"jt541sk9",48851,0.03,1,"B","160000","164565","25-39","Male","High School","23 or larger","41-50","novice","novice","[u'B', u'A']",0,1,1,1
"147",146,"jt541sk9",49717,0,2,"B","c","C","25-39","Male","High School","23 or larger","41-50","novice","novice","[u'B', u'A']",1,1,1,1
"148",147,"jt541sk9",22736,0.11,0,"A","70000","78615","25-39","Male","High School","23 or larger","41-50","novice","novice","[u'B', u'A']",0,0,0,1
"149",148,"jt541sk9",46263,0.01,1,"A","140000","140859","25-39","Male","High School","23 or larger","41-50","novice","novice","[u'B', u'A']",1,1,1,1
"150",149,"jt541sk9",53566,0,2,"A","b","B","25-39","Male","High School","23 or larger","41-50","novice","novice","[u'B', u'A']",1,1,1,1
"151",150,"jt584442",20076,0.02,0,"B","60000","58878","25-39","Male","High School","23 or larger","gt60","low-intermediate","novice","[u'B', u'A']",0,1,1,1
"152",151,"jt584442",49128,0.09,1,"B","150000","164565","25-39","Male","High School","23 or larger","gt60","low-intermediate","novice","[u'B', u'A']",0,0,1,1
"153",152,"jt584442",27641,0,2,"B","c","C","25-39","Male","High School","23 or larger","gt60","low-intermediate","novice","[u'B', u'A']",1,1,1,1
"154",153,"jt584442",17893,0.08,0,"A","85000","78615","25-39","Male","High School","23 or larger","gt60","low-intermediate","novice","[u'B', u'A']",0,0,1,1
"155",154,"jt584442",57193,0.01,1,"A","140000","140859","25-39","Male","High School","23 or larger","gt60","low-intermediate","novice","[u'B', u'A']",1,1,1,1
"156",155,"jt584442",45856,0,2,"A","b","B","25-39","Male","High School","23 or larger","gt60","low-intermediate","novice","[u'B', u'A']",1,1,1,1
